SYMBOL,EXCHANGE,DATE,OPEN_PRICE,CLOSE_PRICE,VOLUME
AA,NYSE,2009-10-05,13,13.42,32205000
AA,NYSE,2009-10-06,13.82,13.89,40920400
AA,NYSE,2009-10-07,14.04,14.2,54317400
AA,NYSE,2009-10-08,15.01,14.35,120802500
AA,NYSE,2009-10-09,14.24,14.24,37811000
ABA,NYSE,2009-10-05,26.28,26.37,21300
ABA,NYSE,2009-10-06,26.35,26,16600
ABA,NYSE,2009-10-07,26.16,26.12,8200
ABA,NYSE,2009-10-08,26.18,26.17,15900
ABA,NYSE,2009-10-09,26.18,26.12,5000
AEA,NYSE,2009-10-05,5.57,5.81,444300
AEA,NYSE,2009-10-06,5.88,5.96,276800
AEA,NYSE,2009-10-07,5.91,5.96,314300
AEA,NYSE,2009-10-08,6.01,6,301300
AEA,NYSE,2009-10-09,5.98,6.11,186800
AMP,NYSE,2009-10-05,36.82,36.2,5405800
AMP,NYSE,2009-10-06,36.69,36.48,3094400
AMP,NYSE,2009-10-07,36.29,36.75,2384800
AMP,NYSE,2009-10-08,37,36.92,3077300
AMP,NYSE,2009-10-09,36.94,36.67,2893100
BAM,NYSE,2009-10-05,21.81,22.03,765100
BAM,NYSE,2009-10-06,22.26,22.52,1203400
BAM,NYSE,2009-10-07,22.44,22.64,725800
BAM,NYSE,2009-10-08,22.85,23.53,3284700
BAM,NYSE,2009-10-09,23.58,23,2009000
BCH,NYSE,2009-10-05,46.7,46.23,5800
BCH,NYSE,2009-10-06,47.8,46.55,15600
BCH,NYSE,2009-10-07,46.54,46.62,4000
BCH,NYSE,2009-10-08,46.47,46.9,13900
BCH,NYSE,2009-10-09,46,47.01,5200
BGC,NYSE,2009-10-05,36.69,37.59,697400
BGC,NYSE,2009-10-06,38.11,37.14,1736200
BGC,NYSE,2009-10-07,37.15,37.64,1220200
BGC,NYSE,2009-10-08,38.45,37.72,1196700
BGC,NYSE,2009-10-09,37.6,37.27,816300
BT,NYSE,2009-10-05,20.63,20.76,116700
BT,NYSE,2009-10-06,20.67,20.72,88400
BT,NYSE,2009-10-07,20.81,20.84,67200
BT,NYSE,2009-10-08,21.63,21.57,172400
BT,NYSE,2009-10-09,21.84,21.55,105300
BXC,NYSE,2009-10-05,3.63,4,39800
BXC,NYSE,2009-10-06,3.96,3.95,45400
BXC,NYSE,2009-10-07,3.93,3.68,52000
BXC,NYSE,2009-10-08,3.72,3.48,38900
BXC,NYSE,2009-10-09,3.49,3.6,21700
CA,NYSE,2009-10-05,21.41,21.82,4689600
CA,NYSE,2009-10-06,21.93,22.14,3245600
CA,NYSE,2009-10-07,22.03,22.09,2603800
CA,NYSE,2009-10-08,22.3,22.39,3199200
CA,NYSE,2009-10-09,22.39,22.79,3180600
CAT,NYSE,2009-10-05,49.2,50.75,8668000
CAT,NYSE,2009-10-06,51.4,51.7,9776300
CAT,NYSE,2009-10-07,51.25,51.9,7437300
CAT,NYSE,2009-10-08,52.53,53.09,11193400
CAT,NYSE,2009-10-09,52.51,53.64,8049900
CHI,NYSE,2009-10-05,11.51,11.9,216300
CHI,NYSE,2009-10-06,11.88,11.85,160200
CHI,NYSE,2009-10-07,11.77,11.85,158500
CHI,NYSE,2009-10-08,11.85,11.9,208600
CHI,NYSE,2009-10-09,11.83,11.86,115800
CSC,NYSE,2009-10-05,50.89,51.24,976700
CSC,NYSE,2009-10-06,50.44,51.76,904700
CSC,NYSE,2009-10-07,51.84,51.56,630200
CSC,NYSE,2009-10-08,51.82,52.46,764200
CSC,NYSE,2009-10-09,52.44,52.51,778100
DAL,NYSE,2009-10-05,8.36,8.44,9839400
DAL,NYSE,2009-10-06,8.65,8.45,9347300
DAL,NYSE,2009-10-07,8.49,8.28,7273000
DAL,NYSE,2009-10-08,8.35,8.62,10533600
DAL,NYSE,2009-10-09,8.64,8.67,6043600
DD,NYSE,2009-10-05,30.69,31.36,5406600
DD,NYSE,2009-10-06,32,31.89,7881500
DD,NYSE,2009-10-07,31.8,31.78,4751000
DD,NYSE,2009-10-08,32.22,32.6,5865600
DD,NYSE,2009-10-09,32.51,32.95,5254500
DIS,NYSE,2009-10-05,27.16,27.67,10263300
DIS,NYSE,2009-10-06,27.83,28.18,11016400
DIS,NYSE,2009-10-07,28.29,28.17,6861400
DIS,NYSE,2009-10-08,28.27,28.67,10366700
DIS,NYSE,2009-10-09,28.67,28.64,7091600
EBS,NYSE,2009-10-05,17,17.25,193300
EBS,NYSE,2009-10-06,17.26,17.8,130200
EBS,NYSE,2009-10-07,17.8,17.57,152600
EBS,NYSE,2009-10-08,17.85,17.48,170900
EBS,NYSE,2009-10-09,17.38,17.51,162200
ELY,NYSE,2009-10-05,7.3,7.41,626500
ELY,NYSE,2009-10-06,7.45,7.46,1324700
ELY,NYSE,2009-10-07,7.4,7.39,503600
ELY,NYSE,2009-10-08,7.42,7.52,879500
ELY,NYSE,2009-10-09,7.53,7.97,1227500
EM,NYSE,2009-10-05,15.85,15.26,424000
