SYMBOL,DATE,OPEN_PRICE,CLOSE_PRICE,VOLUME
CLI,10/1/09,31.95,30.6,1440800
CSL,10/1/09,33.97,33.34,324600
CMP,10/1/09,61.68,59.92,425600
CVH,10/1/09,19.66,19.76,3281300
CUK,10/1/09,34.11,33.95,215200
CAT,10/1/09,50.82,49.45,12845600
CSV,10/1/09,3.9,3.87,36800
CQB,10/1/09,16.05,15.9,492800
CME,10/1/09,302.9,292.52,1223900
CTB,10/1/09,17.5,16.72,1060700
CHT,10/1/09,17.93,17.68,851200
CAP,10/1/09,7.35,7.37,36500
CMS,10/1/09,13.39,13.21,2937100
CUZ,10/1/09,8.18,7.96,3693500
CYT,10/1/09,32.43,30.76,519900
CHU,10/1/09,14.26,14.05,3645600
CRP,10/1/09,25.01,25.1,84100
CVS,10/1/09,35.61,35.87,13126900
CJS,10/1/09,69.81,67.07,165800
CVX,10/1/09,70.4,68.81,9249900
CSP,10/1/09,9.44,9.38,35500
CY,10/1/09,10.37,9.83,8402300
COG,10/1/09,35.65,34.14,1117500
CSS,10/1/09,19.6,19.51,22000
CBY,10/1/09,51.25,50.85,621100
CLW,10/1/09,41.32,39.03,127400
CMM,10/1/09,3.62,3.61,20700
CSR,10/1/09,7.15,6.8,621100
CMN,10/1/09,15.05,15.14,170700
CAJ,10/1/09,39.45,38.5,524900
CJB,10/1/09,47.5,46.75,50500
CRE,10/1/09,7.66,7.51,42600
CA,10/1/09,21.89,21.21,4459500
CAH,10/1/09,26.77,26.49,5242000
CPL,10/1/09,54.2,53.3,62600
CYD,10/1/09,8.95,8.98,438300
CBE,10/1/09,37.51,37.32,5260400
CSA,10/1/09,4.76,4.62,217400
CCS,10/1/09,24,23.85,66600
CEC,10/1/09,25.85,25.47,207600
CII,10/1/09,14.71,14.62,115100
CBM,10/1/09,6.27,6.21,127200
CBL,10/1/09,9.7,8.92,3467700
CPX,10/1/09,11.32,11.3,1285800
CHI,10/1/09,11.89,11.61,179900
CXS,10/1/09,14.32,14.15,145900
CI,10/1/09,27.94,27.81,4518500
CNX,10/1/09,44.67,43.28,2983100
CHP,10/1/09,2.2,2.04,116700
CML,10/1/09,18.35,18.06,268000
CW,10/1/09,33.91,33.41,190200
CNK,10/1/09,10.36,10.24,220500
CPF,10/1/09,2.5,2.34,1042400
CIF,10/1/09,2.49,2.43,67900
CGI,10/1/09,11.24,10.84,180700
CRA,10/1/09,6.2,6.09,1151200
CMC,10/1/09,17.83,17.33,2213600
CPE,10/1/09,1.85,1.8,670700
CHH,10/1/09,31.08,30.63,326000
CLC,10/1/09,31.15,30.55,313600
CCT,10/1/09,24.99,24.98,31400
CIR,10/1/09,28.24,27.79,129400
CAE,10/1/09,8.32,8.23,25400
CCC,10/1/09,14.79,14.55,653800
CFT,10/1/09,102.49,102.71,69600
CHN,10/1/09,23.87,23.77,78300
CNS,10/1/09,23.79,22.96,79700
CGO,10/1/09,14.02,13.94,17500
CFR,10/1/09,51.58,49.94,1149900
CKP,10/1/09,16.29,15.74,275300
CGX,10/1/09,24.7,23.35,46500
CBG,10/1/09,11.64,10.94,6155200
CBT,10/1/09,23.1,21.76,585400
CNH,10/1/09,16.9,16.22,282500
