SYMBOL,DATE,OPEN_PRICE,CLOSE_PRICE,VOLUME
CLI,10/5/09,30.63,31.23,944000
CSL,10/5/09,32.49,33.46,289200
CMP,10/5/09,59.94,60.18,283800
CVH,10/5/09,19.04,19.34,2462100
CUK,10/5/09,33.72,33.87,164500
CAT,10/5/09,49.2,50.75,8668000
CSV,10/5/09,3.86,3.86,9100
CQB,10/5/09,16.2,16.53,384600
CME,10/5/09,295.04,292.96,796200
CTB,10/5/09,16.81,17.38,1029700
CHT,10/5/09,17.56,17.59,456400
CAP,10/5/09,7.21,7.1,17800
CMS,10/5/09,13.23,13.3,2203000
CUZ,10/5/09,7.95,8.27,1625500
CYT,10/5/09,30.76,31.83,627200
CHU,10/5/09,14.11,14.25,1938800
CRP,10/5/09,25.01,25.17,183200
CVS,10/5/09,35.2,34.78,14991100
CJS,10/5/09,69.42,70.61,19300
CVX,10/5/09,68.27,69.39,9777800
CSP,10/5/09,9.38,9.25,52800
CY,10/5/09,9.58,9.86,5165900
COG,10/5/09,34.23,34.95,1455600
CSS,10/5/09,19.84,19.99,26000
CBY,10/5/09,50.77,50.43,755600
CLW,10/5/09,40.3,44.16,117600
CMM,10/5/09,3.53,3.51,20600
CSR,10/5/09,6.34,6.49,1249900
CMN,10/5/09,15.4,16,269100
CAJ,10/5/09,37.51,38.09,648400
CJB,10/5/09,48.64,48.64,15000
CRE,10/5/09,7.57,7.9,29900
CA,10/5/09,21.41,21.82,4689600
CAH,10/5/09,26.28,26.22,3437900
CPL,10/5/09,54.77,55.79,132100
CYD,10/5/09,8.96,9.04,87900
CBE,10/5/09,36.48,36.39,2563900
CSA,10/5/09,4.62,4.79,186800
CCS,10/5/09,23.45,23.71,51100
CEC,10/5/09,25.07,24.98,358500
CII,10/5/09,14.51,14.3,134300
CBM,10/5/09,6.13,6.17,161600
CBL,10/5/09,8.46,9.13,4040400
CPX,10/5/09,11.36,11.67,1126500
CHI,10/5/09,11.51,11.9,216300
CXS,10/5/09,14.3,14.29,112900
CI,10/5/09,28.02,28.7,4534900
CNX,10/5/09,43.63,45.52,3448600
CHP,10/5/09,2.1,2.02,70500
CML,10/5/09,17.3,17.86,140400
CW,10/5/09,32.83,32.8,238800
CNK,10/5/09,10.31,10.45,176800
CPF,10/5/09,2.35,2.41,619100
CIF,10/5/09,2.41,2.42,65100
CGI,10/5/09,11.13,11.33,117100
CRA,10/5/09,6.02,6.11,670100
CMC,10/5/09,17.04,17.78,1760300
CPE,10/5/09,1.79,1.86,355600
CHH,10/5/09,30.26,30.54,186900
CLC,10/5/09,30.48,30.57,352700
CCT,10/5/09,24.83,24.75,21600
CIR,10/5/09,27.01,27.16,78600
CAE,10/5/09,8.26,8.35,29300
CCC,10/5/09,14.43,14.96,331600
CFT,10/5/09,102.55,102.35,64400
CHN,10/5/09,24.07,24.15,100500
CNS,10/5/09,22.65,23.38,130300
CGO,10/5/09,13.73,13.95,32800
CFR,10/5/09,50.57,50.59,462400
CKP,10/5/09,15.37,15.44,133100
CGX,10/5/09,23.78,23.9,69900
CBG,10/5/09,10.89,11.29,2744600
CBT,10/5/09,21.5,21.8,470200
CNH,10/5/09,16.47,16.73,94800
CYN,10/5/09,36.78,38.08,738500
CIG,10/5/09,15.24,15.41,1540200
CCI,10/5/09,30.77,31.02,1047700
CBR,10/5/09,3.79,3.88,296000
CTS,10/5/09,8.4,8.71,129700
CMU,10/5/09,4.39,4.45,34400
CHS,10/5/09,12.09,12.31,4975900
CGA,10/5/09,11.2,11.49,533600
CLF,10/5/09,30.52,32.12,3938100
CFN,10/5/09,21.59,21.25,1191900
CL,10/5/09,76.83,76.86,3017400
CCU,10/5/09,33.94,34.44,43700
CNA,10/5/09,23.61,24.02,253600
CRK,10/5/09,38.1,39.58,488300
CBI,10/5/09,17.94,17.98,1305000
CAF,10/5/09,30.54,31.59,98800
CHW,10/5/09,7.52,7.65,184400
CAB,10/5/09,12.85,13.26,805700
CCH,10/5/09,25.04,25.19,106100
CHG,10/5/09,44.04,44,67100
CTL,10/5/09,32.81,33.4,4153100
CVB,10/5/09,10.56,10.56,1500
CRH,10/5/09,26.84,27.32,108900
CCZ,10/5/09,32.5,32.5,0
CXH,10/5/09,9.31,9.34,24300
CXE,10/5/09,4.96,5.02,38000
CLR,10/5/09,37.75,39.59,361600
CSJ,10/5/09,104.06,103.88,465200
CLNY,10/5/09,19.5,19.53,272500
CHA,10/5/09,45.68,46.08,136600
CBS,10/5/09,11.49,11.82,11272500
CNI,10/5/09,48.02,48.8,1183800
CTV,10/5/09,27.06,27.63,2447000
CSU,10/5/09,5.78,5.79,300500
CM,10/5/09,59.17,60.68,386900
CSE,10/5/09,3.96,4.02,3837600
CJR,10/5/09,16.56,16.87,11000
CRN,10/5/09,20.5,20.16,141500
CSC,10/5/09,50.89,51.24,976700
CP,10/5/09,44.92,45.38,976900
CDE,10/5/09,18.89,20.19,4505200
CIX,10/5/09,7.05,7.01,1900
CYH,10/5/09,30.96,32.02,1296500
CSQ,10/5/09,8.25,8.52,411800
CIB,10/5/09,42.07,43.38,221000
CPT,10/5/09,38.22,38.69,849300
CRY,10/5/09,7.41,7.81,341500
CPO,10/5/09,27.18,27.18,304600
CBU,10/5/09,17.55,17.52,208300
CCK,10/5/09,26.54,26.72,2042100
CZZ,10/5/09,7.72,8,667200
CMO,10/5/09,13.77,13.86,857000
CBK,10/5/09,6.42,6.38,175800
CLP,10/5/09,10.41,10.7,1547800
CR,10/5/09,24.84,25.19,281400
CWF,10/5/09,3.86,3.88,22800
CRR,10/5/09,48.92,49.78,174400
CLB,10/5/09,100.01,101.39,81500
COY,10/5/09,6.46,6.49,92300
COL,10/5/09,48.45,48.81,736100
CFX,10/5/09,10.4,10.71,341400
CBB,10/5/09,3.37,3.42,1009900
CIU,10/5/09,103.4,103.22,175900
CPY,10/5/09,11.1,11.31,74500
CDR,10/5/09,6.45,6.54,119200
CE,10/5/09,24.12,24.28,1490600
CWT,10/5/09,38.64,38.76,70800
CLX,10/5/09,57.99,56.89,2553800
CX,10/5/09,12.19,12.43,10228600
CPP,10/5/09,22.3,22.36,600
CVC,10/5/09,22.9,23.22,1707400
CMA,10/5/09,29.22,29.98,2832300
CPV,10/5/09,21.03,21,47700
CHY,10/5/09,11.22,11.5,134200
CGV,10/5/09,21.85,22.31,87500
CS,10/5/09,54.27,54.98,1005300
CJA,10/5/09,46.2,46.71,671400
CRL,10/5/09,36.03,36.84,456300
CCO,10/5/09,7.04,7.27,467600
CV,10/5/09,19.45,19.63,24400
CBD,10/5/09,56.85,58.19,274200
CEA,10/5/09,32.21,33.07,6300
CO,10/5/09,7.5,7.5,0
COH,10/5/09,31.33,32.25,2978400
CVO,10/5/09,6.77,6.99,542800
CXO,10/5/09,34.66,36.41,556000
